fecha,hora,pm10_ugm3,humedad_relativa_pct,direccion_viento_grados,velocidad_viento_ms,precipitacion_mm,condicion_lluvia,estacion_anio,n_eventos,numero_taladros,tonelaje_tm,anfo_kg,emulsion_kg,explosivo_total_kg,p80,mes,tiempo_taladro_ms,tiempo_fila_ms,n_retardos_taladro,n_retardos_fila
2023-02-06,12,8.9,63.0,331.0,1.4,0.0,Seco,Verano,1,104,52575.0,2347,9650,11997,3.96,2,7.0,150.0,1,1
2023-02-06,13,8.1,65.0,305.0,2.1,0.0,Seco,Verano,1,203,96164.0,4686,19267,23953,9.379999999999999,2,24.0,182.0,1,1
2023-02-07,12,10.4,64.0,299.0,2.7,0.0,Seco,Verano,1,58,25132.0,1291,5313,6604,4.55,2,17.0,24.0,1,2
2023-02-09,13,146.6,59.0,292.0,1.6,0.0,Seco,Verano,1,183,81551.0,4428,14620,19048,8.629999999999999,2,0.0,370.0,1,1
2023-02-10,12,7.3,78.0,28.0,0.0,0.2,Lluvia ligera,Verano,1,68,31554.0,1543,6285,7827,4.55,2,17.0,42.0,2,1
2023-02-10,13,5.7,67.0,316.0,1.7,0.0,Seco,Verano,1,100,53275.0,1034,9556,10590,5.46,2,17.0,42.0,2,1
2023-02-11,12,22.3,73.0,313.0,1.7,0.0,Seco,Verano,1,184,87319.0,6279,15060,21339,4.7,2,8.0,182.0,2,1
2023-02-12,12,8.5,71.0,4.0,0.6,0.0,Seco,Verano,1,100,,2039,8380,10419,3.58,2,8.0,182.0,2,1
2023-02-12,13,10.7,68.0,296.0,2.9,0.0,Seco,Verano,1,51,71170.0,0,6020,6020,4.67,2,8.0,182.0,2,1
2023-02-13,12,4.8,72.0,301.0,1.6,0.0,Seco,Verano,1,162,73829.0,3395,13954,17349,4.55,2,17.0,45.0,2,2
2023-02-13,13,6.2,67.0,305.0,1.8,0.0,Seco,Verano,1,161,72305.0,3168,13026,16194,4.36,2,17.0,75.0,1,2
2023-02-14,13,5.1,68.0,305.0,2.3,0.0,Seco,Verano,1,103,45744.0,1071,9910,10981,4.78,2,8.0,182.0,2,1
2023-02-16,13,6.8,56.0,308.0,2.9,0.0,Seco,Verano,1,212,114240.0,2215,20492,22706,5.15,2,26.0,182.0,2,1
2023-02-17,13,57.9,50.0,300.0,2.7,0.0,Seco,Verano,1,331,168139.0,7751,31865,39616,5.3,2,13.0,42.0,3,2
2023-02-18,13,53.8,55.0,308.0,2.1,0.0,Seco,Verano,2,175,87626.0,4142,17034,21176,9.56,2,7.0,150.0,1,1
2023-02-19,12,68.1,76.0,300.0,2.7,0.0,Seco,Verano,2,182,92802.0,3284,17483,20766,10.284,2,0.0,257.0,1,1
2023-02-20,12,23.8,65.0,314.0,2.2,0.0,Seco,Verano,1,157,119398.0,1599,14795,16394,4.85,2,17.0,75.0,2,2
2023-02-21,12,51.3,66.0,313.0,2.7,0.0,Seco,Verano,1,56,24607.0,1707,4094,5801,3.41,2,8.0,182.0,3,1
2023-02-21,13,30.7,59.0,304.0,3.7,0.0,Seco,Verano,1,104,47393.0,3846,9225,13071,3.41,2,7.0,150.0,1,1
2023-02-22,12,8.4,73.0,315.0,2.4,0.0,Seco,Verano,2,227,89001.0,6446,21462,27908,8.552,2,8.0,224.0,1,1
2023-02-22,14,10.4,62.0,306.0,2.1,0.0,Seco,Verano,1,106,51236.0,2516,10347,12863,3.41,2,17.0,42.0,1,1
2023-02-23,12,4.9,81.0,9.0,0.8,0.1,Lluvia ligera,Verano,2,71,12823.0,2528,6062,8590,11.02,2,0.0,364.0,1,1
2023-02-24,13,9.3,67.0,331.0,0.7,0.0,Seco,Verano,2,240,105114.0,2460,21438,23897,9.758,2,33.0,364.0,1,1
2023-02-25,12,8.7,69.0,304.0,1.0,0.0,Seco,Verano,1,135,64875.0,4630,11097,15727,4.31,2,7.0,182.0,1,1
2023-02-25,13,8.6,63.0,300.0,1.4,0.0,Seco,Verano,1,213,63519.0,6784,20918,27701,1.943,2,3.0,182.0,1,1
2023-02-26,12,9.3,60.0,307.0,2.9,0.0,Seco,Verano,1,92,43763.0,2282,9376,11658,4.46,2,17.0,100.0,1,1
